FN	FIBSOL	FIBINS	FIBTG	FIBSDFS	FIBSDFP	FIBIDF	STARES	FIBTDF	NoticeFIB				
05030	0.7	6.4	7.1	-	-	-	-	-					
05031	Tr	6.2	6.2	-	-	-	-	-					
05032	1.0	3.1	4.1	-	-	-	-	-					
05033	0.5	6.4	6.9	-	-	-	-	-					
05034	0.5	7.0	7.4	0.7	0.6	7.2	0	8.5					
05035	0.3	6.9	7.1	0.8	0.7	9.8	0.1	11.4					
05044	0.4	7.0	7.4	-	-	-	-	-					
05045	0.3	6.9	7.2	-	-	-	-	-					
05036	0.5	6.4	6.8	0.6	1.0	7.9	Tr	9.5					
05037	0.6	5.5	6.1	0.8	0.8	6.0	0.1	7.6					
06001	6.1	2.6	8.7	-	-	-	-	-					
06002	6.3	2.3	8.6	-	-	-	-	-					
06402	-	-	-	Tr	0.2	0.5	-	0.8					
06003	0.7	2.6	3.3	-	-	-	-	-					
06004	1.3	2.1	3.4	-	-	-	-	-					
06005	1.5	4.1	5.6	-	-	-	-	-					
06006	1.4	3.9	5.3	-	-	-	-	-					
06007	0.4	1.4	1.8	-	-	-	-	-					
06008	0.5	1.6	2.1	-	-	-	-	-					
06327	0.4	1.7	2.1	-	-	-	-	-					
06009	0.4	1.3	1.7	-	-	-	-	-					
06328	0.1	0.3	0.4	-	-	-	-	-					
